Year,Country Code,Index
1966,IDN,6
1967,IDN,7
1967,NGA,7
1968,NGA,8
1969,NGA,9
1970,NGA,10
1968,TCD,8
1969,TCD,9
1970,TCD,10
1971,TCD,11
1972,TCD,12
1968,BFA,8
1969,BFA,9
1970,BFA,10
1971,BFA,11
1972,BFA,12
2005,BFA,45
2006,BFA,46
2012,BFA,52
1968,MLI,8
1969,MLI,9
1970,MLI,10
1971,MLI,11
1972,MLI,12
2012,MLI,52
1968,MRT,8
1969,MRT,9
1970,MRT,10
1971,MRT,11
1972,MRT,12
2012,MRT,52
1968,NER,8
1969,NER,9
1970,NER,10
1971,NER,11
1972,NER,12
2005,NER,45
2006,NER,46
2012,NER,52
1974,BGD,14
1975,KHM,15
1976,KHM,16
1977,KHM,17
1978,KHM,18
1979,KHM,19
1980,UGA,20
1981,UGA,21
1982,MOZ,22
1983,MOZ,23
1984,MOZ,24
1985,MOZ,25
1994,KOR,34
1995,KOR,35
1996,KOR,36
1997,KOR,37
1998,KOR,38
1998,COD,38
1999,COD,39
2000,COD,40
2001,COD,41
2002,COD,42
2003,COD,43
2004,COD,44
